Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
26,1.0,0.0,0.0,262.0,10.0,19.0,549.0,0.1,12.702999999999998,0.0,0.0,110.20744299888611,,,,,,,,,,,,,,,,,,,,,5.248569691549748,4.559883686944008,12.628521590520005,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,288.0,11.0,26.0,575.0,0.1,16.002,0.0,0.0,113.040931224823,,,,,,,,,,,,,,,,,,,,,6.024644322771266,5.529982516771339,15.877097565641668,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,312.0,12.0,24.0,599.0,0.1,18.202000000000005,0.0,0.0,115.85136866569519,,,,,,,,,,,,,,,,,,,,,8.027419791765217,6.222794327211206,18.04541470900093,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,328.0,13.0,16.0,615.0,0.1,7.304,0.0,0.0,117.68919062614441,,,,,,,,,,,,,,,,,,,,,2.422074868929939,2.700162269104872,7.279799120539081,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,344.0,14.0,16.0,631.0,0.1,8.302999999999997,0.0,0.0,119.5749261379242,,,,,,,,,,,,,,,,,,,,,3.000036251709373,3.06453220742721,8.271534216872178,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,359.0,15.0,15.0,646.0,0.1,7.703,0.0,0.0,121.40859937667847,,,,,,,,,,,,,,,,,,,,,2.8479576840530254,2.8391172580796376,7.675624207530059,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2.0,0.0,0.0,0.0,0.0,17.0,663.0,0.1,11.102999999999998,0.0,0.0,184.08291578292847,,,,,,,,,1.6036682,0.15258348,1.8950363,1.3401822,,,,,8.654151,4.8790574,24.807575,2.1858666,4.626313152618226,4.014353979962857,11.046434498968932,0.001,2.8450618,0.0,2.8450618,2.8450618,-1.4173059888831785e-17,0.9999999970153556,3.5854356592464938,-1.796675623701266,3.1519704,2.3674295,7.6013045,-0.038384955,1.647358,0.14176713,1.9178207,1.3882912,-0.015228337,0.020561136,0.016439142,-0.0481078,5.215640507482974,4.41514038560683,15.009231613301559,-0.0007022491893832472,0.02186929,0.0,0.02186929,0.02186929,1.0013961,0.15360016,2.0615976,0.38377318,0.99747384,0.11274465,1.2,0.8
33,2.0,0.0,0.0,19.0,1.0,19.0,682.0,0.1,11.302999999999997,0.0,0.0,191.62544465065002,,,,,,,,,,,,,,,,,,,,,4.30162244963197,4.09075966912751,11.24374542055268,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2.0,0.0,0.0,40.0,2.0,21.0,703.0,0.1,12.801999999999998,0.0,0.0,194.10534167289734,,,,,,,,,,,,,,,,,,,,,5.288494068557698,4.23741965195713,12.71636163146158,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2.0,0.0,0.0,58.0,3.0,18.0,721.0,0.1,6.903,0.0,0.0,196.1077263355255,,,,,,,,,,,,,,,,,,,,,2.3501097108793347,2.3676972477221714,6.874440030825792,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
